600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600519.SH,600547.SH,600570.SH
500,0,100,0,0,600,0,1000,0,0,0,0,0,0,0
600,0,300,0,0,-1000,0,-300,0,0,0,0,0,0,0
1000,0,-400,0,0,-400,0,1000,0,0,0,0,0,0,0
1000,0,500,0,0,800,0,400,0,0,0,300,0,0,0
0,0,-500,0,0,-1000,0,-1000,0,0,0,-300,0,0,0
100,0,0,0,0,1000,0,-1000,0,0,0,300,0,0,0
-100,0,0,0,0,-1000,0,-800,0,0,0,-200,0,200,0
1000,0,0,0,0,1000,0,700,0,0,0,-100,0,-200,0
1000,0,0,0,0,-1000,0,-1000,0,0,0,0,0,0,0
1000,0,0,0,0,-100,0,700,0,0,0,0,0,0,0
100,0,0,0,0,700,0,-1000,0,0,0,400,0,0,0
-1000,0,0,0,0,-1000,0,-200,0,0,0,-400,0,0,0
1000,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0
300,0,1000,0,0,1000,0,1000,0,0,0,300,0,0,0
-600,0,400,0,0,-1000,0,0,0,0,0,400,0,0,0
700,0,900,0,0,-1000,0,-800,0,0,0,-700,0,0,0
0,0,200,0,0,1000,0,1000,0,0,0,0,0,0,0
-800,0,-300,0,0,1000,0,-500,0,0,0,100,0,0,0
500,0,-1000,0,0,-1000,0,-200,0,0,0,-100,0,0,0
-100,0,-900,0,0,-900,0,1000,0,0,0,0,0,0,0
400,0,-300,0,0,400,0,300,0,0,0,0,0,0,0
200,0,200,0,0,500,0,0,0,0,0,0,0,0,0
700,600,0,0,0,-1000,0,300,0,0,0,0,0,0,0
200,-600,-200,0,0,-1000,0,-1000,0,0,0,0,0,0,0
600,0,700,0,0,1000,0,1000,0,0,0,0,0,0,0
1000,0,-600,0,0,0,0,400,0,0,0,0,0,0,0
1000,0,-100,0,0,1000,0,1000,0,0,0,0,0,0,0
-1000,0,0,0,0,-1000,0,-1000,0,0,0,0,0,0,0
100,0,0,0,0,300,0,1000,0,0,0,0,0,0,0
1000,0,0,0,0,-300,0,-1000,0,0,0,0,0,0,0
600,0,100,0,0,-1000,0,1000,0,0,0,0,0,0,0
-100,0,-100,0,0,900,0,1000,0,0,0,0,0,0,0
1000,0,300,0,0,-800,0,1000,0,0,0,0,0,0,0
-100,0,200,0,0,-500,0,1000,0,0,0,100,0,0,0
-900,0,-200,0,0,-200,0,-100,0,0,0,-100,0,0,0
1000,0,0,0,0,1000,0,-100,1000,0,0,0,0,0,0
800,0,1000,0,0,-1000,0,-1000,-1000,0,0,0,0,0,0
1000,0,-600,0,0,600,0,400,0,0,0,0,0,0,0
0,0,-100,0,0,-1000,0,-800,0,0,0,0,0,0,0
-600,0,400,0,0,200,0,100,0,0,0,300,0,0,0
-1000,0,0,0,0,1000,0,-1000,0,0,0,0,0,0,0
-1000,0,-800,0,0,-1000,0,-1000,0,0,0,-300,0,200,0
900,0,-200,0,0,800,0,0,0,0,0,0,0,-200,0
-500,0,900,0,0,-400,0,1000,0,0,0,200,0,0,0
400,0,700,0,0,900,0,-1000,0,0,0,-200,0,0,0
100,0,900,0,0,100,0,-700,0,0,0,0,0,0,0
-1000,0,300,0,0,700,0,1000,0,0,0,0,0,0,0
-1000,0,500,0,0,-900,0,-800,0,0,0,0,0,0,0
-700,0,-1000,0,0,-1000,0,1000,0,0,0,0,0,0,0
-200,0,-1000,0,0,700,0,-300,0,0,0,0,0,0,0
-1000,0,-1000,0,0,1000,0,1000,0,0,0,0,0,0,0
-700,0,-300,0,0,500,0,-700,0,0,0,0,0,0,0
600,0,700,0,100,-1000,0,1000,0,0,0,0,0,0,0
0,0,-700,0,-100,100,0,400,0,0,0,0,0,0,0
-1000,0,0,0,0,-200,0,800,0,0,0,0,0,0,0
-400,0,900,0,0,1000,0,1000,0,0,0,0,0,0,0
800,0,-900,0,0,-1000,0,-1000,0,0,0,400,0,0,0
-1000,0,0,0,0,200,0,1000,0,0,0,-400,0,0,0
-100,0,0,0,0,0,0,1000,0,0,0,0,0,0,0
1000,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0
-300,0,0,0,0,-1000,0,-1000,0,0,0,0,0,0,600
-1000,0,0,0,0,-1000,0,-800,0,0,0,0,0,0,-600
800,0,1000,0,0,1000,0,500,0,0,0,0,0,0,0
1000,0,-1000,0,0,-1000,0,700,0,0,0,0,0,0,0
-1000,0,0,0,0,600,0,-1000,0,0,0,200,0,0,0
0,0,0,0,0,-900,0,1000,0,0,0,-200,0,0,0
1000,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0
1000,0,600,0,0,500,0,-1000,0,0,0,0,0,0,0
600,0,-600,0,0,-1000,0,800,0,0,0,0,0,0,0
1000,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
-400,0,0,0,0,-1000,0,-1000,0,0,0,0,0,0,0
-400,0,100,0,0,1000,0,1000,0,0,0,0,0,0,0
-500,0,100,0,0,-300,0,0,0,0,0,0,0,0,0
1000,0,-200,0,0,200,0,1000,0,0,0,0,0,0,0
-1000,0,100,0,0,-1000,0,0,0,0,0,0,0,0,0
500,0,0,0,0,-1000,0,-800,0,0,0,0,0,0,0
600,0,-100,0,0,1000,0,1000,0,0,0,0,0,0,0
300,0,0,0,0,-1000,0,600,0,0,0,100,0,0,0
-700,0,0,0,0,-100,0,1000,0,0,0,-100,0,0,0
-600,0,0,0,0,500,0,1000,0,0,0,0,0,0,0
-1000,0,1000,0,0,500,0,-1000,0,0,0,0,0,0,0
-900,0,-1000,0,0,-1000,0,-1000,0,0,0,0,0,0,0
-300,0,900,0,0,1000,0,1000,0,0,0,0,0,0,0
100,0,300,0,0,-900,0,1000,0,0,0,0,0,0,0
-200,0,400,0,0,1000,0,300,0,0,0,0,0,0,0
-200,0,1000,0,0,1000,0,-1000,0,0,0,0,0,0,0
500,0,-1000,0,0,-100,0,300,0,0,0,0,0,0,0
700,0,100,0,0,-300,0,900,0,0,0,0,0,0,0
400,0,-1000,0,0,100,0,-300,0,0,0,0,0,0,0
1000,0,-700,0,0,-1000,0,-300,0,0,0,0,0,0,0
-1000,0,0,0,0,-1000,0,-100,0,0,0,0,0,0,500
1000,0,0,0,0,-100,0,-400,0,0,0,0,0,0,-500
1000,0,200,0,0,1000,0,1000,0,0,0,0,0,0,0
-600,0,-200,0,0,0,0,-100,0,0,0,0,0,0,0
0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0
1000,0,0,0,0,-1000,0,-1000,0,0,0,0,0,0,0
1000,0,0,0,0,-700,0,-1000,0,0,0,0,0,0,0
1000,0,0,0,0,-500,0,700,0,0,0,0,0,0,0
500,0,0,0,0,-300,0,800,0,0,0,0,0,0,0
500,0,0,0,0,-300,0,1000,0,0,0,0,0,0,0
-500,0,0,0,0,200,0,1000,0,0,0,700,0,0,0
300,0,0,0,0,-1000,0,-1000,0,0,0,-700,0,0,0
200,0,0,0,300,1000,0,-1000,0,0,0,0,0,0,0
700,0,0,0,-300,400,0,100,0,0,0,0,0,0,0
-700,0,200,0,0,-100,0,-1000,0,0,0,0,0,0,0
-300,0,-200,0,0,1000,0,0,0,0,0,0,0,0,0
900,0,400,0,0,-1000,0,300,0,0,0,0,0,0,0
-400,0,500,0,0,800,0,800,0,0,0,0,0,0,0
0,0,-500,0,0,-800,0,-1000,0,0,0,0,0,0,0
-1000,0,400,0,0,300,0,1000,0,0,0,0,0,0,0
100,0,-800,0,0,300,0,1000,0,0,0,0,0,0,0
600,0,100,0,0,-500,0,0,0,0,0,0,0,0,0
300,0,-100,0,0,1000,0,1000,0,0,0,0,0,0,0
-900,0,0,0,0,-1000,0,400,0,0,0,400,0,0,0
100,0,1000,0,0,-1000,0,-1000,0,0,0,200,0,0,0
0,0,-500,0,0,-1000,0,-1000,0,0,0,-600,0,0,0
1000,0,600,0,0,900,0,900,0,0,0,0,0,0,0
1000,0,800,0,0,400,0,900,0,0,0,0,0,0,0
-200,0,-1000,0,0,-100,0,100,0,0,0,0,0,0,0
1000,0,-900,0,0,-700,0,-1000,0,0,0,0,0,0,0
1000,0,0,0,0,-600,0,0,0,0,0,0,0,0,0
-1000,0,0,0,0,-400,0,400,0,0,0,0,0,0,0
-1000,0,1000,0,0,400,0,700,0,0,0,0,0,0,0
-400,0,0,0,0,500,0,1000,0,0,0,0,0,0,0
-200,0,-1000,0,0,-500,0,1000,0,0,0,0,0,0,0
1000,0,100,0,0,1000,0,1000,0,0,0,0,0,0,0
500,0,800,0,0,700,0,800,0,0,0,0,0,0,0
1000,0,-900,0,0,-1000,0,300,0,0,0,0,0,0,0
500,0,0,0,0,-1000,0,1000,0,0,0,0,0,0,500
700,0,0,0,0,-1000,0,-1000,0,0,0,0,0,0,-500
300,0,400,0,0,-100,0,700,0,0,0,0,0,0,0
200,0,1000,0,0,-400,0,600,0,0,0,0,0,0,0
1000,0,-700,0,0,1000,0,1000,0,0,0,0,0,0,0
-1000,0,-500,0,0,800,0,-200,0,0,0,0,0,0,0
300,0,600,0,0,-1000,0,-1000,0,0,0,0,0,0,0
-200,0,-800,0,0,300,0,1000,0,0,0,0,0,0,0
-1000,0,0,0,0,300,0,500,0,0,0,0,0,0,0
-200,0,700,0,0,100,0,-1000,0,0,0,500,0,0,0
-100,0,600,0,0,-1000,0,-1000,0,0,0,-500,0,0,400
-800,0,-300,0,0,600,0,300,0,0,0,0,0,0,-400
1000,0,1000,0,0,-600,0,800,0,0,0,0,0,0,0
900,0,-1000,0,0,-1000,0,-1000,0,0,0,0,0,0,0
-500,0,-400,0,0,1000,0,500,0,0,0,0,0,0,0
200,0,-400,0,0,1000,0,500,0,0,0,0,0,0,0
400,0,700,0,0,300,0,600,0,0,0,0,0,0,0
-1000,0,0,0,0,-1000,0,-1000,0,0,0,200,0,0,600
-600,0,-200,0,0,-1000,0,-400,0,0,0,-200,0,0,300
100,0,-100,0,0,-1000,0,-1000,0,0,0,800,0,0,-200
700,0,-600,0,0,-1000,0,-1000,0,0,0,-800,0,0,-700
400,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0
1000,0,300,0,0,1000,0,1000,0,0,0,0,0,0,0
900,0,-300,0,0,600,0,0,0,0,0,0,0,0,0
100,0,0,0,0,-500,0,-1000,0,0,0,0,0,0,0
-100,0,0,0,0,-800,0,-1000,0,0,0,0,0,0,0
1000,0,800,0,0,-300,0,-1000,0,0,0,0,0,0,0
700,0,200,0,0,800,0,1000,0,0,0,0,0,0,0
1000,0,500,0,0,500,0,1000,0,0,0,0,0,0,0
900,0,300,0,0,-1000,0,-1000,0,0,0,0,0,0,0
1000,0,900,0,400,-1000,0,1000,0,0,0,0,0,0,0
1000,0,900,0,-400,1000,0,700,0,0,0,0,0,0,0
0,0,-1000,0,0,-600,0,-600,0,0,0,0,0,0,0
1000,0,300,0,0,-600,0,900,0,0,0,0,0,0,0
1000,0,0,0,0,-700,0,-100,0,0,0,0,0,0,0
1000,0,400,0,0,900,0,900,0,0,0,0,0,0,0
-1000,0,-700,0,0,-1000,0,-500,0,0,0,0,0,0,0
-600,0,-100,0,0,200,0,0,0,0,0,0,0,0,0
-100,0,-1000,0,0,500,0,800,0,0,0,0,0,0,0
-500,0,-400,0,0,-200,0,100,0,0,0,400,0,0,0
-100,0,-1000,0,0,-1000,0,900,0,0,0,-400,0,0,0
600,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
600,0,-100,0,0,1000,0,700,0,0,0,0,0,0,0
-500,0,600,0,0,-1000,0,-1000,0,0,0,0,0,0,0
1000,0,-600,0,0,400,0,-1000,0,0,0,0,0,0,0
600,0,1000,0,0,-100,0,-100,0,0,0,0,0,0,0
700,0,100,0,0,-400,0,100,0,0,0,0,0,0,0
-1000,0,100,0,0,-1000,0,300,0,0,0,0,0,0,0
-300,0,0,0,0,-200,0,-500,0,0,0,0,0,0,0
-100,0,-300,0,0,600,0,0,0,0,0,0,0,0,0
-1000,0,-900,0,0,1000,0,500,0,0,0,0,0,0,0
1000,0,400,0,0,200,0,400,0,0,0,0,0,0,0
500,0,-400,0,0,-1000,0,-900,0,0,0,0,0,0,0
700,0,1000,0,0,300,0,-800,0,0,0,0,0,0,0
1000,0,1000,0,0,1000,0,1000,0,0,0,0,0,100,0
0,0,1000,0,0,-1000,0,-1000,0,0,0,0,0,-100,0
1000,0,-100,0,0,-1000,0,500,0,0,0,0,0,0,800
0,0,-1000,0,0,-1000,0,0,0,0,0,0,0,0,-800
0,0,-300,0,0,1000,0,400,0,0,0,0,0,0,0
300,0,600,0,0,1000,0,0,0,0,0,0,0,0,0
-300,0,-500,0,0,-1000,0,100,0,0,0,0,0,0,0
700,0,-400,0,0,-1000,0,-1000,0,0,0,0,0,0,0
1000,0,200,0,0,800,0,-400,0,0,0,0,0,0,0
600,0,-700,0,0,-400,0,-1000,0,0,0,0,0,0,0
1000,0,1000,0,0,-1000,0,800,0,0,0,0,0,0,0
300,0,-1000,0,0,-700,0,-1000,0,0,0,0,0,0,0
500,0,-800,0,0,1000,0,700,0,0,0,0,0,0,0
-500,0,400,0,0,-900,0,100,0,0,0,0,0,0,0
400,0,-400,0,0,-500,0,700,0,0,0,400,0,0,0
1000,0,600,0,0,1000,0,-300,0,0,0,-200,0,0,0
900,0,-600,0,0,400,0,1000,0,0,0,-200,0,0,0
1000,0,0,0,0,800,0,-900,0,0,0,0,0,0,0
-1000,0,0,0,0,-1000,0,-200,0,0,0,0,0,0,0
-300,0,0,0,0,0,0,-600,0,0,0,0,0,0,0
-1000,0,200,0,0,900,0,-1000,0,0,0,0,0,0,0
600,0,-200,0,0,200,0,-600,0,0,0,0,0,0,0
400,0,400,0,0,-300,0,800,0,0,0,0,0,0,0
0,0,-400,0,0,400,0,1000,0,0,0,0,0,0,0
-1000,0,0,0,0,-200,0,600,0,0,0,0,0,0,0
-800,0,0,0,0,600,0,-1000,0,0,0,0,0,0,0
-300,0,0,0,0,-1000,0,-600,0,0,0,0,0,0,0
200,0,400,0,0,300,0,-1000,0,0,0,0,0,500,0
1000,0,100,0,0,1000,0,1000,0,0,0,0,0,200,0
-500,0,-300,0,0,-1000,0,-600,0,0,0,0,0,-700,0
-1000,0,-100,0,0,1000,0,1000,0,0,0,300,0,0,0
0,0,300,0,0,-100,0,1000,0,0,0,-300,0,100,0
1000,0,-400,0,0,-1000,0,1000,0,0,0,0,0,0,0
-600,0,0,0,0,600,0,1000,0,0,0,0,0,-100,0
-400,0,0,0,0,-1000,0,-1000,0,0,0,0,0,0,0
1000,0,1000,0,0,-1000,0,1000,0,0,0,0,0,0,0
1000,0,1000,0,0,200,0,-900,0,0,0,0,0,0,0
400,0,-100,0,0,-600,0,1000,0,0,0,0,0,0,0
-100,0,-1000,0,0,-1000,0,700,0,0,0,0,0,0,0
700,0,-900,0,0,-100,0,1000,0,0,0,0,0,0,0
500,0,0,0,0,-600,0,-1000,0,0,0,800,0,0,0
-200,0,0,0,0,-1000,0,-1000,0,0,0,-800,0,0,0
-300,0,600,0,0,1000,0,1000,0,0,0,0,0,100,0
1000,0,200,0,0,-300,0,1000,0,0,0,0,0,-100,0
1000,0,-600,0,1000,1000,0,600,0,0,0,0,0,0,0
-600,0,-200,0,-600,-1000,0,800,0,0,0,0,0,0,0
400,0,0,0,-400,-1000,0,-300,0,0,0,0,0,0,0
-600,0,200,0,400,900,0,1000,0,0,0,0,0,0,0
-300,0,-200,0,-400,-1000,0,200,0,0,0,600,0,0,0
1000,0,400,0,0,-300,0,300,0,0,0,-600,0,0,0
800,0,-400,0,0,1000,0,1000,0,0,0,0,0,0,0
1000,0,0,0,0,-1000,0,300,0,0,0,0,0,0,0
700,0,0,0,0,-500,0,0,0,0,0,0,0,0,0
-700,0,0,0,0,200,0,1000,0,0,0,1000,0,0,0
-1000,0,0,0,0,-1000,0,1000,0,0,0,-1000,0,0,0
300,0,0,0,0,200,0,-500,0,0,0,0,0,0,0
300,0,0,0,0,500,0,0,0,0,0,0,0,0,0
-1000,0,200,0,0,800,0,0,0,0,0,0,0,0,0
-100,0,1000,0,0,800,0,600,0,0,0,0,0,0,0
1000,0,-1000,0,0,500,0,-400,0,0,0,0,0,0,0
0,0,-200,0,0,-1000,0,-300,0,0,0,900,0,0,0
-1000,0,1000,0,0,-700,0,100,0,0,0,-900,0,0,0
1000,0,600,0,0,-400,0,0,0,0,0,0,0,0,0
100,0,-1000,0,0,1000,0,1000,0,0,0,0,0,0,0
-600,0,-600,0,0,-100,0,200,0,0,0,0,0,0,0
1000,0,0,0,0,400,0,1000,0,0,0,0,0,0,0
1000,0,0,0,0,-400,0,-100,0,0,0,0,0,0,0
1000,0,0,0,0,1000,0,0,0,0,0,0,0,700,0
-200,0,400,0,0,-700,0,-800,0,0,0,200,0,-700,0
-900,0,-400,0,0,-400,0,-500,0,0,0,-200,0,0,0
-300,0,0,0,0,200,0,-500,0,0,0,0,0,0,0
-500,0,100,0,0,1000,0,1000,0,0,0,0,0,0,0
-200,0,-100,0,0,-1000,0,900,0,0,0,0,0,0,0
-600,0,1000,0,0,-1000,0,-1000,0,0,0,1000,0,0,0
300,0,-1000,0,0,-1000,0,-1000,0,0,0,-1000,0,0,0
-800,0,0,0,0,800,0,1000,0,0,0,0,0,0,0
-400,0,0,0,0,1000,0,-400,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,400,0,0,0,0,0,0,0
400,0,0,0,0,-1000,0,-1000,0,0,0,0,0,0,0
-900,0,100,0,0,-300,0,-1000,0,0,0,0,0,0,0
1000,0,0,0,200,-800,0,1000,0,0,0,0,0,0,0
700,0,-100,0,-200,600,0,1000,0,0,0,0,0,0,0
300,0,500,0,0,1000,0,-1000,0,0,0,0,0,0,0
-600,0,-500,0,0,0,0,-1000,0,0,0,0,0,0,0
1000,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0
1000,0,900,0,0,300,0,1000,0,0,0,0,0,0,0
-300,0,-900,0,0,1000,0,800,0,0,0,0,0,0,0
-800,0,0,0,0,-1000,0,1000,0,0,0,0,0,0,0
700,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0
900,0,0,0,0,1000,0,-1000,0,0,0,0,0,0,0
-1000,0,1000,0,0,-1000,0,1000,0,0,0,0,0,0,0
-900,0,-600,0,0,100,0,-1000,0,0,0,200,0,0,0
500,0,-400,0,0,0,0,-100,0,0,0,800,0,0,0
-200,0,0,0,0,-600,0,-1000,0,0,0,-1000,0,0,0
1000,0,600,0,0,1000,0,800,0,0,0,0,0,0,0
-100,0,-600,0,0,-100,0,-800,0,0,0,0,0,0,0
300,0,0,0,0,-1000,0,-1000,0,0,0,0,0,0,0
0,0,100,0,0,0,0,1000,0,0,0,0,0,0,0
800,0,-100,0,0,600,0,100,0,0,0,0,0,0,0
500,0,0,0,0,0,300,0,0,0,0,0,0,0,0
-1000,0,0,0,0,-300,-300,100,0,0,0,0,0,0,0
1000,0,1000,0,0,-800,0,500,0,0,0,0,0,0,0
300,0,-1000,0,0,1000,0,-200,0,0,0,0,0,0,0
1000,0,0,0,0,900,0,1000,0,0,0,0,0,0,0
-500,0,0,0,0,600,0,1000,0,0,0,0,0,0,0
800,0,0,0,0,-100,0,900,0,0,0,0,0,0,0
-1000,0,0,0,0,-1000,0,-100,0,0,0,0,0,0,0
-200,0,0,0,0,600,0,-900,0,0,0,0,0,0,0
400,0,0,0,0,400,0,1000,0,0,0,0,0,0,0
